datetime,open,high,low,close_price,volume,SMA_10,RSI_14,MACD,MACD_signal
2025-01-24 03:00:00,3.0751,3.083,3.055,3.0552,6463000.0,3.09266,39.56031650472283,-0.017074533728092867,-0.015036248320978763
2025-01-24 04:00:00,3.0552,3.1333,3.055,3.1217,19435264.0,3.0922600000000005,51.65814478700214,-0.013488252052148653,-0.014726649067212742
2025-01-24 05:00:00,3.1218,3.164,3.1125,3.1609,12455347.0,3.0990200000000003,57.108285843850574,-0.007397709405159603,-0.013260861134802114
2025-01-24 06:00:00,3.1608,3.1746,3.1456,3.1727,13940227.0,3.1082799999999997,58.620624270870955,-0.0016003018110208878,-0.010928749270045869
2025-01-24 07:00:00,3.1727,3.176,3.1492,3.1502,10407240.0,3.11339,54.66283276084556,0.0011651919087283247,-0.008509961034291032
2025-01-24 08:00:00,3.1502,3.1698,3.142,3.1659,8256036.0,3.12211,56.851932938387534,0.004571032379657947,-0.005893762351501236
2025-01-24 09:00:00,3.1658,3.1816,3.1618,3.1798,8672781.0,3.1280900000000003,58.75093399234784,0.008296166282755202,-0.0030557766246499495
2025-01-24 10:00:00,3.1797,3.1949,3.171,3.1815,10248990.0,3.1343,58.98866540312144,0.011255787816147222,-0.00019346373649051533
2025-01-24 11:00:00,3.1815,3.201,3.1678,3.1955,11958160.0,3.14586,60.982965470304364,0.014563117646398727,0.0027578525400873332
2025-01-24 12:00:00,3.1955,3.2007,3.1821,3.1975,6176503.0,3.1580900000000005,61.27269351624592,0.017147913181251973,0.005635864668320261
2025-01-24 13:00:00,3.1975,3.2031,3.176,3.1926,9798931.0,3.17183,60.095284272794544,0.018586736883131394,0.008226039111282488
2025-01-24 14:00:00,3.1927,3.1939,3.1666,3.18,8488044.0,3.17766,57.058991082685,0.018497077539782136,0.010280246796982417
2025-01-24 15:00:00,3.1799,3.1934,3.166,3.1817,8678523.0,3.17974,57.37193176387113,0.018351651244681744,0.011894527686522282
2025-01-24 16:00:00,3.1817,3.1879,3.13,3.1651,13784015.0,3.17898,53.288134740716295,0.016704361113253796,0.012856494371868586
2025-01-24 17:00:00,3.1651,3.1704,3.1482,3.1515,6537706.0,3.17911,50.13924148797349,0.014138485812410728,0.013112892659977015
2025-01-24 18:00:00,3.1516,3.1632,3.134,3.1505,11919384.0,3.1775700000000002,49.90572178171454,0.011887290225569558,0.012867772173095524
2025-01-24 19:00:00,3.1504,3.1648,3.1456,3.1473,6237083.0,3.17432,49.11737805982723,0.009732794649262466,0.012240776668328913
2025-01-24 20:00:00,3.1472,3.155,3.133,3.142,7871311.0,3.1703699999999997,47.771382410808336,0.007511092478089676,0.011294839830281067
2025-01-24 21:00:00,3.1419,3.1437,3.1007,3.1052,11657810.0,3.16134,39.64723154028222,0.002749233597791001,0.009585718583783055
2025-01-24 22:00:00,3.1052,3.1281,3.1015,3.1087,9699989.0,3.15246,40.680498570626874,-0.0007336955374603882,0.007521835759534367
2025-01-24 23:00:00,3.1087,3.115,3.0932,3.0949,8104071.0,3.14269,37.92360076973998,-0.004554979668640602,0.005106472673899374
2025-01-25 00:00:00,3.0949,3.1063,3.0828,3.1009,7098585.0,3.13478,39.83279913943864,-0.0070183221683555175,0.0026815137054483954
2025-01-25 01:00:00,3.1008,3.1216,3.0967,3.0989,6948748.0,3.1265,39.39782819458613,-0.009027854643421929,0.00033964003567433067
2025-01-25 02:00:00,3.0988,3.1318,3.0965,3.1207,6565029.0,3.12206,46.28338745675208,-0.008760361800315142,-0.0014803603315235638
2025-01-25 03:00:00,3.1207,3.1248,3.1097,3.1186,2735469.0,3.11877,45.744206413849675,-0.008618475820099558,-0.002907983429238763
2025-01-25 04:00:00,3.1186,3.134,3.113,3.1335,3400132.0,3.11707,50.179001536506334,-0.0072204913533200354,-0.0037704850140550176
2025-01-25 05:00:00,3.1336,3.136,3.1144,3.1168,2158070.0,3.11402,45.672900551093,-0.007375113308369041,-0.0044914106729178225
2025-01-25 06:00:00,3.1167,3.1176,3.0949,3.1082,3916591.0,3.1106399999999996,43.50621032869567,-0.008098248876474479,-0.005212778313629154
2025-01-25 07:00:00,3.1082,3.1083,3.0937,3.1024,3239548.0,3.1103599999999996,42.05713120022798,-0.00903519840844913,-0.00597726233259315
2025-01-25 08:00:00,3.1024,3.1087,3.0959,3.1086,2581884.0,3.11035,44.19680842450756,-0.009171723558475176,-0.006616154577769555
2025-01-25 09:00:00,3.1087,3.1117,3.0949,3.1018,2854626.0,3.11104,42.34966688379664,-0.00971661678361313,-0.0072362470189382706
2025-01-25 10:00:00,3.1018,3.1067,3.0955,3.0995,2609366.0,3.1109,41.714626660542365,-0.010216272537967974,-0.007832252122744212
2025-01-25 11:00:00,3.0995,3.1022,3.0784,3.1003,6494907.0,3.11104,42.04018219413845,-0.010427498299494076,-0.008351301358094185
2025-01-25 12:00:00,3.1003,3.1167,3.098,3.1145,4120135.0,3.11042,47.63155230411603,-0.009341393146279575,-0.008549319715731264
2025-01-25 13:00:00,3.1145,3.1212,3.1063,3.1211,3457893.0,3.11067,50.043794695109106,-0.007857505711181823,-0.008410956914821376
2025-01-25 14:00:00,3.1211,3.1279,3.1106,3.1143,3870142.0,3.1087499999999997,47.61045235577044,-0.00714782175820039,-0.008158329883497179
2025-01-25 15:00:00,3.1143,3.12,3.1031,3.1128,4111450.0,3.10835,47.0667834087053,-0.006630003028562648,-0.007852664512510273
2025-01-25 16:00:00,3.1127,3.1434,3.1115,3.1413,8583562.0,3.11166,57.09228091173789,-0.0038752447300880455,-0.0070571805560258275
2025-01-25 17:00:00,3.1413,3.1446,3.1187,3.1281,4871626.0,3.11423,52.16434386405252,-0.002725787433789595,-0.006190901931578581
2025-01-25 18:00:00,3.128,3.1293,3.1113,3.1193,4424847.0,3.1153,49.12035751369261,-0.0024961466753357087,-0.005451950880330007
2025-01-25 19:00:00,3.1193,3.1282,3.1125,3.1247,3282268.0,3.1175900000000003,51.00954975564706,-0.0018570133554605128,-0.004732963375356109
2025-01-25 20:00:00,3.1247,3.134,3.1187,3.1253,2951251.0,3.12017,51.22625050829939,-0.0012872420837015675,-0.004043819117025201
2025-01-25 21:00:00,3.1253,3.1328,3.1196,3.1203,2489178.0,3.12217,49.27038762442703,-0.0012250310635630868,-0.0034800615063327782
2025-01-25 22:00:00,3.1203,3.1391,3.1185,3.1365,5058904.0,3.12437,55.23417464995133,0.00012997792444924272,-0.0027580536201763746
2025-01-25 23:00:00,3.1364,3.1431,3.1216,3.1236,4567626.0,3.12462,50.17576535539992,0.00016105359398066454,-0.0021742321773449667
2025-01-26 00:00:00,3.1236,3.1284,3.1038,3.108,4196605.0,3.12399,44.82907044906238,-0.0010608791845228005,-0.0019515615787805336
2025-01-26 01:00:00,3.1079,3.1261,3.105,3.1208,4426212.0,3.12479,49.576858787997885,-0.00098506151315636,-0.001758261565655699
2025-01-26 02:00:00,3.1207,3.1304,3.1166,3.1293,3094155.0,3.12359,52.500117311552685,-0.00023637175338908634,-0.0014538836032023765
2025-01-26 03:00:00,3.1293,3.1293,3.1105,3.1187,2494223.0,3.1226499999999997,48.70777735108198,-0.0004926818076635975,-0.0012616432440946208
2025-01-26 04:00:00,3.1187,3.1434,3.1183,3.135,4733389.0,3.12422,54.18793755953152,0.00061240497953019,-0.0008868335993696587
2025-01-26 05:00:00,3.135,3.1443,3.1318,3.1321,6501305.0,3.12496,53.100914361444424,0.0012398957104715613,-0.0004614877374014147
2025-01-26 06:00:00,3.1322,3.135,3.1218,3.1304,3135175.0,3.12547,52.43685268936042,0.0015817771012605064,-5.283476966903047e-05
2025-01-26 07:00:00,3.1304,3.136,3.1261,3.1322,4950701.0,3.12666,53.105559947118515,0.0019751966854824055,0.0003527715213612567
2025-01-26 08:00:00,3.1322,3.1426,3.1315,3.142,5942052.0,3.1272100000000003,56.67683942758877,0.003042688420294315,0.0008907549011478685
2025-01-26 09:00:00,3.142,3.1442,3.1301,3.1347,3268860.0,3.1283199999999995,53.41369303312402,0.003262031649331476,0.00136501025078459
2025-01-26 10:00:00,3.1346,3.1355,3.1103,3.115,5125265.0,3.12902,45.757373183135975,0.0018251976361916,0.001457047727865992
2025-01-26 11:00:00,3.115,3.1247,3.1119,3.1247,3232740.0,3.12941,49.58899804791795,0.0014524621827498585,0.0014561306188427654
2025-01-26 12:00:00,3.1247,3.1357,3.1228,3.1303,3742730.0,3.12951,51.709809990109086,0.001590604352472269,0.0014830253655686663
2025-01-26 13:00:00,3.1303,3.1304,3.1155,3.1257,4214721.0,3.1302100000000004,49.854420915568944,0.0013137572848473944,0.001449171749424412
2025-01-26 14:00:00,3.1257,3.1266,3.116,3.1205,4147541.0,3.1287599999999998,47.767873968957495,0.000667067903832752,0.00129275098030608
2025-01-26 15:00:00,3.1204,3.1204,3.1121,3.1168,3116063.0,3.12723,46.28353175216381,-0.00014235617421398672,0.0010057295494020667
2025-01-26 16:00:00,3.1168,3.1217,3.1137,3.1153,2634817.0,3.1257200000000003,45.664024309568326,-0.0008945561650008926,0.0006256724065214749
2025-01-26 17:00:00,3.1152,3.122,3.107,3.1181,5379389.0,3.12431,47.08775447085146,-0.0012503304465001364,0.0002504718359171526
2025-01-26 18:00:00,3.1182,3.1225,3.1111,3.12,2227124.0,3.12211,48.08187595679551,-0.0013632552488545002,-7.227358103717798e-05
2025-01-26 19:00:00,3.12,3.1322,3.1155,3.1322,3028113.0,3.1218600000000003,54.05148221474534,-0.00046297405128159497,-0.0001504136750860614
2025-01-26 20:00:00,3.1322,3.1375,3.1258,3.131,2271171.0,3.12346,53.4010787823417,0.00015192402717278952,-8.994613463429122e-05
2025-01-26 21:00:00,3.131,3.1321,3.1232,3.1258,2240642.0,3.12357,50.56182174505612,0.00021713563818837045,-2.8529780069758887e-05
2025-01-26 22:00:00,3.1259,3.1267,3.0971,3.0975,8298187.0,3.12029,38.549199511749094,-0.001991796981536176,-0.00042118322036304226
2025-01-26 23:00:00,3.0975,3.0987,3.07,3.0813,14042913.0,3.1158499999999996,33.62445581153199,-0.004992051347628035,-0.001335356845816041
2025-01-27 00:00:00,3.0813,3.0813,3.0115,3.0223,26690325.0,3.1060299999999996,22.400470495223217,-0.01199234122023407,-0.003466753720699647
2025-01-27 01:00:00,3.0222,3.0394,2.9701,2.9893,28076130.0,3.09328,18.650492338428393,-0.01997271258799982,-0.006767945494159682
